clasificacion,,texto,
Falso,¿Hoy reciben asignac,"¿Hoy reciben asignaciones 1,4 millones de chicos más que en 2015?",
Falso,"Efectivamente, se su","Efectivamente, se sumó esta cantidad de niños y niñas gracias a la modificación del régimen de asignaciones familiares. Sin embargo, una parte de ellos ya recibía otras transferencias del Estado.",
Verdadero,El decomiso de las d,"El decomiso de las drogas de diseño es el más alto del último trienio, aunque en el caso de la cocaína aumentó con respecto al último año pero está por debajo de 2014.",
Verdadero,Más de 7.500 persona,"Más de 7.500 personas de esta comunidad pudieron tramitar el nuevo DNI gracias a la Ley de Identidad de Género. A pesar de esto, siguen siendo uno de los sectores más relegados de la sociedad.",
Verdadero,Tanto los datos ofic,Tanto los datos oficiales como los alternativos muestran que el sueldo de los trabajadores perdió poder de compra en el primer semestre del año con respecto al anterior.,
Falso,La cantidad de perso,La cantidad de personas que no completaron su educación obligatoria es aún mayor a la cifra señalada por el ministro y representa un 61% de los mayores de 20 años.,
Verdadero,Lo sostuvo el fundad,Lo sostuvo el fundador de Consumidores Libres en la audiencia pública por las tarifas de gas. El incremento confirmado por Aranguren y los aumentos salariales sustentan estos dichos.,
Verdadero,Según cifras del Min,"Según cifras del Ministerio de Producción de la Nación, estas empresas representan el 66% del empleo privado formal. Así, emplean a más de cuatro millones de personas.",
Verdadero,Lo afirmó el Ministr,Lo afirmó el Ministro de Energía de la Provincia de Neuquén durante la audiencia pública sobre el precio de las tarifas de gas. Un estudio internacional sustenta sus dichos.,
Verdadero,El Ministro de Energ,"El Ministro de Energía afirmó esto durante su exposición en la audiencia pública. Efectivamente, casi la mitad de los argentinos no acceden a la red y gastan más por los servicios alternativos.",
Verdadero,El porcentaje de la ,"El porcentaje de la deuda mencionada por el ex ministro de Economía de la Nación aumentó un 50%, aunque no llegó a duplicarse.",
Falso,La capital santafeci,"La capital santafecina supera en proporción de homicidios a Rosario, como dijo el periodista, pero sucede desde 2007. En ambas jurisdicciones el indicador aumentó de manera notable.",
Verdadero,Según cifras del Min,"Según cifras del Ministerio de Producción de la Nación, en varios rubros de la economía argentina los productos del exterior superan ampliamente los porcentajes mencionados por el Presidente. Además, los datos muestran que en 2016 aumentó esta proporción.",
Verdadero,¿Entre los 20 países,¿Entre los 20 países con más desarrollo humano sólo EE.UU. utiliza parcialmente alguna forma de voto electrónico?,
Verdadero,Así lo sostuvo la pr,"Así lo sostuvo la presidenta de la Fundación Vía Libre, Beatriz Busaniche. Efectivamente son pocos los países que utilizan alguna forma de voto electrónico en sus elecciones nacionales. En algunos, como Alemania, se implementó y luego se descartó.",
Verdadero,Los datos muestran q,"Los datos muestran que el Estado nacional realizó al menos 47 llamados a licitación por montos mayores a $15 millones durante el último año. Sin embargo, la obra pública se detuvo en el segundo semestre de 2015 y repuntó en lo que va de 2016.",
Falso,La ex presidenta com,"La ex presidenta comparó los últimos datos del INDEC con los de años anteriores, pero el instituto oficial señala que no son comparables. Los números de la UIA y de las consultoras registran caídas superiores a la actual durante su gobierno.",
Falso,La cifra dada por el,"La cifra dada por el Jefe de Gabinete es cierta, aunque el 50% de los diez anuncios más importantes que el Gobierno considera en su relevamiento fueron realizados antes del balotaje en el que ganó Mauricio Macri.",
Falso,El aumento de las ju,"El aumento de las jubilaciones quedó por detrás del incremento de los precios, aunque en una proporción menor a la señalada por el diputado nacional. Se explica por el sistema de aumentos previsionales vigente y por la fuerte inflación del primer semestre.",
Falso,El ex ministro de De,"El ex ministro de Defensa comparó los últimos datos del INDEC con los de 2015, aunque están cuestionados y el instituto oficial señala que no son comparables.",
Falso,La Argentina tiene l,"La Argentina tiene los menores porcentajes de tasa de empleo de América del Sur, aunque la diferencia no es tan marcada como señaló el Presidente.",
Falso,El periodista señaló,"El periodista señaló que la Procuradora General se contradijo al dictaminar en contra de los aumentos de tarifas del Gobierno de Cambiemos. Sin embargo, el dictamen previo no avaló las subas de gas y, además, fue emitido por otra funcionaria.",
Falso,Los datos oficiales ,Los datos oficiales muestran que el empleo privado formal cayó tanto en lo que va del año como en relación a 2015. La Construcción es el sector más afectado. Aún no hay datos sobre el sector público e informal.,
Verdadero,Los datos sostienen ,"Los datos sostienen la tendencia marcada por el Ministro de Agroindustria. Las restricciones a las exportaciones y la caída de la rentabilidad del sector fueron las principales causas de este proceso, según los especialistas.",
Verdadero,La informalidad labo,"La informalidad laboral bajó entre 2003 y 2015, algo que no pasó en las gestiones de 1980 en adelante. Si bien la cifra se encuentra relativamente estancada desde 2012, a principios de 2015 se alcanzó el porcentaje más bajo desde 1995.",
Verdadero,El Presidente se ref,"El Presidente se refirió a las facturas de abril a julio, antes de la suspensión del aumento. El porcentaje, sin embargo, implica una disminución de la cobrabilidad histórica y no está directamente relacionado con un apoyo o rechazo a la medida.",
Falso,En los últimos años ,"En los últimos años aumentaron significativamente los recursos humanos dedicados a la investigación y el desarrollo. Así, el país volvió a posicionarse como el de la región con más investigadores.",
Verdadero,La Provincia de Buen,"La Provincia de Buenos Aires duplicó el año último los montos para publicidad y alcanzó el número mencionado por Carrió, pero también lo hizo la Ciudad de Buenos Aires, el otro distrito gobernado por un candidato presidencial.",
Verdadero,Si bien el salario r,"Si bien el salario real durante el período del kirchnerismo aumentó, distintas fuentes coinciden en que hubo años en los que la suba de los sueldos fue menor al incremento de los precios.",
Falso,Los datos muestran u,"Los datos muestran una reducción de los fondos que reciben las provincias. Pero una porción importante se destina al financiamiento de la ANSES, cuyos recursos para jubilaciones y asignaciones vuelven, en parte, a las jurisdicciones.",
Verdadero,"Según Lemus, el emba","Según Lemus, el embarazo adolescente en la Argentina aumentó",
Verdadero,Si bien la cantidad ,"Si bien la cantidad de niñas y adolescentes que son madres a temprana edad aumentó entre 2001 y 2011, en 2012 se registró una caída y, desde ese momento, se mantiene estable en niveles altos.",
Verdadero,Distintas fuentes co,"Distintas fuentes coinciden con el dato que dio el presidente de la Sociedad Rural Argentina, pero se trata de proyecciones porque la siembra de la cosecha 2016/2017 de maíz, soja y girasol todavía no comenzó.",
Falso,Un estudio coincide ,"Un estudio coincide con la frase del Presidente, luego de incluir empleos indirectos como los generados por el pago de impuestos o el consumo del sector. Existen críticas a esta metodología, y otros trabajos calculan porcentajes menores.",
Falso,Si bien en los últim,"Si bien en los últimos años la suba de los sueldos fue mayor al alza de los precios, distintas fuentes coinciden en que hubo años, como 2014, en los que el salario real cayó algo por encima de los números marcados por el sindicalista.",
Falso,A diferencia de los ,"A diferencia de los dichos de la ex presidenta, el comercio con ese país fue deficitario para la Argentina tanto en la década del ‘90 como todos los años desde 2006. Se debe principalmente al tipo de productos intercambiados.",
Falso,Los números de consu,"Los números de consultoras privadas coinciden en la gran penetración del cable en la Argentina señalada por el titular de Fútbol para Todos, pero no hay estudios públicos sobre el consumo de esos televidentes.",
Verdadero,"Werthein, sobre la h","Werthein, sobre la herencia económica: “Hoy el Estado tiene la responsabilidad de pagarle a diez millones de personas más que en el 2002”",
Verdadero,En los últimos 12 añ,"En los últimos 12 años la cantidad de beneficiarios de políticas de protección y seguridad social aumentó en la cifra mencionada por el empresario. Aún así, la inversión social de la Argentina es menor a la media regional.",
Verdadero,¿La Provincia de Bue,¿La Provincia de Buenos Aires duplicó el presupuesto para los comedores escolares?,
Verdadero,"Efectivamente, el mo","Efectivamente, el monto de cada ración pasó de $3,95 a $7,90 para los desayunos y meriendas; y de $6,30 a $12,60 para los almuerzos. Aún así, hay críticas por la falta de cupos y por la cantidad de comida que reciben los chicos.",
Verdadero,Los datos de la empr,"Los datos de la empresa Metrogas confirman la tendencia señalada por el Presidente, aunque no siempre los hogares más humildes son los que menos gas usan.",
Verdadero,A pesar de que las c,"A pesar de que las cantidades importadas aumentaron, lo hicieron en niveles mucho menores a los indicados por el senador. Además, si se miden en dólares, se registró una baja por la caída en los precios internacionales.",
Falso,La brecha entre los ,"La brecha entre los ingresos de la población más rica y más pobre prácticamente duplica a la que había a comienzos de los ‘70. Sin embargo, luego de un período de mejora constante que se estancó en los últimos años, la diferencia es menor a la señalada por el economista.",
Falso,Los datos oficiales ,"Los datos oficiales muestran este crecimiento en la cantidad de beneficiarios. Pero se explica, en parte, porque previamente pocas personas solicitaban la tarifa diferencial debido al bajo precio del gas.",
Verdadero,Casi la mitad de las,"Casi la mitad de las personas no están conectadas a la red de gas natural, y el servicio prácticamente no varió con respecto a 2001. Cuatro provincias no tienen acceso a la red.",
Verdadero,Las entidades privad,"Las entidades privadas tuvieron una rentabilidad similar a la dicha por el diputado, al igual que en años previos, como 2014 y 2015. Estos ingresos, sin embargo, ya están gravados con impuestos.",
Falso,Según el Banco Mundi,"Según el Banco Mundial, Chile consume más que la Argentina y Uruguay un 30% menos. En cuanto al consumo residencial, si bien los hogares argentinos consumen más, no llegan a duplicar los valores de los países vecinos.",
Falso,La erogación que más,"La erogación que más creció en comparación con 2015 fue la Deuda Pública. Además, el porcentaje mencionado responde a una nueva metodología, que deja afuera ciertos gastos de Servicios Sociales, como Educación y Salud, que también llegan a los sectores más desfavorecidos.",
Falso,La cifra brindada po,"La cifra brindada por el ministro de Hacienda responde a una nueva metodología, que deja fuera gastos como Educación y Salud. Además, otros años la variación del Gasto Social creció por encima que la de 2015/2016.",
Falso,Si se observa la tas,"Si se observa la tasa de 2015 y el último trienio, indicador que los especialistas aconsejan tomar, las muertes de niños en la jurisdicción porteña fueron menos que nunca antes.",
Verdadero,Los números oficiale,Los números oficiales de la ANSES y especialistas del sector previsional confirman los dichos de la ex Presidenta.,
Verdadero,Si bien el salario r,"Si bien el salario real durante el período kirchnerista aumentó, distintas fuentes coinciden en que hubo años en los que la suba de los sueldos fue menor a la inflación.",
Falso,Las cifras de AySA m,"Las cifras de AySA muestran un aumento en la cobertura, pero menor al señalado. Los especialistas resaltan las obras, aunque también que no todas las personas que pueden disponer del servicio están efectivamente conectadas.",
Falso,"Rodríguez Larreta, s","Rodríguez Larreta, sobre Grindetti: “Ni siquiera está imputado, lo pidió el fiscal, no está confirmado”",
Falso,El intendente de Lan,El intendente de Lanús (Cambiemos) y ex ministro de Hacienda porteño fue imputado por enriquecimiento ilícito. Este acto procesal no necesita de una confirmación del juez.,
Falso,La propuesta volunta,"La propuesta voluntaria de pago a los 300 mil jubilados en juicio establece un monto menor a lo establecido por la Corte. De todos modos, el haber de estas personas y de más de dos millones que no litigaron, aumentará con respecto a la jubilación actual.",
Falso,En ese período dismi,"En ese período disminuyó la cantidad de pasajeros, pero la caída no fue constante. Además, la cantidad de personas que viajan en colectivo en la ciudad de Buenos Aires también cayó, incluso levemente más que en el subte.",
Falso,Los datos de distint,Los datos de distintas fiscalías federales muestran la tendencia señalada por la Ministra de Seguridad de la Nación.,
Verdadero,Si bien el tributo q,"Si bien el tributo que establece el proyecto actual presenta la tasa más alta de los blanqueos de capitales, el texto prevé la posibilidad de eludir el pago si los fondos declarados se destinan a bonos o a adquirir fondos comunes para inversiones y se mantienen al menos cinco años.",
Falso,Los datos disponible,"Los datos disponibles muestran que el oficialismo pasó el 30% establecido por ley en las listas de 2013 y 2015 en la Ciudad Autónoma de Buenos Aires y la Provincia. Sin embargo, en el resto de las provincias la situación no siempre fue así.",
Verdadero,Los datos muestran q,"Los datos muestran que el porcentaje destinado al área no aumentó con respecto a 2015 y está por debajo de la inflación. Sin embargo, el Ministerio aún puede terminar ejecutando más fondos que los presupuestados.",
Falso,"Los datos, utilizado","Los datos, utilizados por el Presidente para referirse a la situación laboral, muestran una tendencia descendente. Sin embargo, hubo cambios en los requisitos de acceso y, además, los especialistas señalan que este subsidio no es un indicador suficiente para ver la evolución del mercado laboral.",
Falso,El distrito porteño ,"El distrito porteño supera ampliamente las recomendaciones de presupuesto para Cultura, aunque no es algo inédito sino que se mantiene al menos desde los años ‘90.",
Falso,Si bien no existe in,"Si bien no existe información oficial que corrobore el dato, un estudio alternativo confirma lo mencionado por el juez federal.",
Verdadero,El ministro del Inte,"El ministro del Interior utilizó este argumento para relativizar que la economía argentina esté en recesión. El dato es correcto, pero la actualidad del sector automotriz no es un indicador de la situación general.",
Verdadero,Buenos Aires efectiv,Buenos Aires efectivamente está entre las jurisdicciones con menores transferencias automáticas en relación a su población.,
Verdadero,El Ministro de Educa,"El Ministro de Educación incluyó aumentos que corresponden a la paritaria de 2015 y a la actual para llegar al número mencionado. Además, la inflación superó el último aumento acordado por los docentes universitarios.",
Falso,En los últimos años ,En los últimos años cayó la cantidad de argentinos que viajaron dentro del país. Muchos eligieron destinos en el exterior.,
Verdadero,Ante la falta de inf,"Ante la falta de información oficial, las fuentes alternativas calculan que la cantidad de despidos oscila entre los 80 y 140 mil. Con una de estas fuentes, se llegaría a los 200 mil al sumar a los trabajadores no registrados.",
Falso,"Así, la canciller ap","Así, la canciller apuntó al narcotráfico. Un informe de la ONU ubica al país en el podio entre los países de tránsito de cocaína, aunque también advierte que los resultados deben interpretarse con cautela.",
Verdadero,"Sólo en 2014, año en","Sólo en 2014, año en el que fue detenido el financista, había más de 100 personas alojadas en cárceles del país por delitos previstos en la Ley Penal Tributaria. Un tercio de ellas tenía condena.",
Falso,¿La Argentina está e,¿La Argentina está entre los diez países del mundo con mayor carga impositiva sobre los cigarrillos?,
Falso,Así lo informó el Mi,"Así lo informó el Ministerio de Economía de la Nación. La carga tributaria se incrementó e hizo que el país ascienda varios lugares en el ranking, pero aún así no se encuentra entre los primeros diez.",
Falso,"Este año, 50 mil tra","Este año, 50 mil trabajadores más pasaron a pagar este tributo luego de la suba del mínimo no imponible. Después de los aumentos en paritarias, el número será mayor. Ganancias es de los impuestos más progresivos del sistema.",
Verdadero,Distintas fuentes ma,"Distintas fuentes marcan un descenso en marzo último, aunque, por las subas de los servicios y del transporte, se estima uno de los valores más altos para abril. Sin contar esos aumentos, las consultoras calculan una desaceleración.",
Falso,La tasa de despidos ,"La tasa de despidos está por debajo de 2009, 2011 y 2012, pero no es la más baja del período mencionado. Además, las suspensiones se encuentran en un nivel récord y también cayeron las contrataciones de personal.",
Falso,El jefe de Gabinete ,El jefe de Gabinete se refirió a la situación del mercado laboral en su primer informe de gobierno ante la Cámara de Diputados. Los datos respaldan sus dichos.,
Verdadero,La suspensión de des,"La suspensión de despidos y doble indemnización estuvieron vigentes hasta 2007, período durante el cual se crearon más de dos millones de empleos. Influyeron otros factores, como el crecimiento económico.",
Falso,Desde la creación de,"Desde la creación del programa en 2009, se destinó un monto aún mayor entre derechos de transmisión y gastos en producción. Hay tres ex jefes de Gabinete citados a indagatoria por presuntas irregularidades en el manejo de esos fondos.",
Verdadero,Los exportadores de ,"Los exportadores de cereales y oleaginosas ingresaron casi el doble de divisas que en 2015. La eliminación de las restricciones cambiarias, de las retenciones y de los cupos de exportación influyeron en el aumento.",
Verdadero,Distintos especialis,Distintos especialistas coinciden en que la lista previa incluía fármacos con limitada efectividad. Hay críticas a la forma en que se comunicó la medida.,
Verdadero,La cifra citada por ,"La cifra citada por el Ministro se asemeja a las personas que reúnen las condiciones para el beneficio en la totalidad de la Provincia de Buenos Aires y la Ciudad Autónoma de Buenos Aires, pero no todas residen en el área metropolitana.",
Falso,La mayoría de las po,"La mayoría de las políticas aplicadas desde el 10 de diciembre impactan más sobre los trabajadores registrados. Si bien falta información oficial, los datos muestran un aumento de las persona por debajo de la línea de la pobreza y una caída del salario real.",
Falso,El aumento en la mat,El aumento en la matrícula salteña depende de los niveles y el tipo de educación que se incluya. La variación en el período fue similar al promedio de todo el país.,
Falso,Si bien existen conf,"Si bien existen conflictos en varios países europeos, y en algunos se suspendió el servicio, Uber funciona actualmente en más de 400 ciudades, entre las que se incluye a Londres, París y Roma.",
Falso,Si bien los datos mu,"Si bien los datos muestran una baja de la inflación durante 2015 respecto de 2014, la única fuente que dio ese resultado es el cuestionado indicador que calculaba el INDEC. Además, Costa hizo la comparación contra el peor año de alza de precios desde 2003.",
Falso,El Presidente nortea,"El Presidente norteamericano destacó la importancia de las energías renovables durante una conferencia de prensa conjunta con el primer mandatario argentino, Mauricio Macri. Los datos disponibles ratifican sus dichos.",
Verdadero,El Presidente dialog,"El Presidente dialogó con la prensa en el marco de la visita del primer mandatario estadounidense, Barack Obama. El peso del intercambio con dicho país está en uno de los niveles más bajos de los últimos 80 años, aunque aún así es el tercer socio comercial de la Argentina.",
Verdadero,Los datos disponible,Los datos disponibles confirman un deterioro en el servicio de electricidad.,
Verdadero,Si bien los cálculos,"Si bien los cálculos de déficit de 2015 arrojan las cifras más altas de las últimas dos décadas, el número mencionado por el Jefe de Gabinete responde a una metodología que sobreestima el porcentaje y no respeta los estándares internacionales en la materia.",
Falso,Si bien se prevé que,"Si bien se prevé que no se alcanzarán las tasas de crecimiento que había previsto Galuccio en su plan original, los datos muestran que en el último trienio se revirtió la tendencia a la caída que se había registrado durante la gestión Repsol SA.",
Verdadero,Pese a que la penali,"Pese a que la penalización de la tenencia para consumo personal fue declarada inconstitucional, la mayoría de los expedientes de narcotráfico que ingresan en la Justicia federal son por este delito y termina archivados.",
Verdadero,La cantidad de traba,La cantidad de trabajadores en la Cámara alta creció en los últimos años por encima de la del resto del Congreso.,
Verdadero,El proyecto fue vota,El proyecto fue votado por los dos bloques que responden al oficialismo jujeño y contó con la oposición del Frente para la Victoria. Las nuevas designaciones tampoco fueron acompañadas por la totalidad del FpV.,
Falso,"El ranking, que mide","El ranking, que mide diferentes aspectos del funcionamiento de la economía, ubica a la Argentina por debajo de la mayoría de los países de la región. Sin embargo, existen críticas a la manera en la que se evalúa.",
Verdadero,La emisión de bonos ,"La emisión de bonos por parte del Poder Ejecutivo Nacional (PEN) para pagarle a los llamados “fondos buitre” y a los holdouts representa una de las mayores operaciones de un país en desarrollo, sólo por debajo del caso de México en la década del 90.",
Verdadero,La gestión de Axel K,"La gestión de Axel Kicillof acordó pagar el capital, los intereses y montos por el atraso, aunque con una tasa menor a la inicial. El Club de París, por su parte, no otorga calificaciones de crédito.",
Falso,Las ventas a ese paí,"Las ventas a ese país crecieron con respecto a los años 2001-2002, aunque sí se mantuvieron estables desde 2005. Por su parte, las compras aumentaron y se incrementó el déficit comercial.",
Falso,El porcentaje mencio,El porcentaje mencionado por la Gobernadora coincide con los datos oficiales y las cifras alternativas sobre el tema.,
Verdadero,La cobertura para es,"La cobertura para esa edad es completa, tal como afirmó el jefe de Gobierno de la Ciudad.",
Verdadero,La cifra citada por ,"La cifra citada por la diputada del Frente Renovador es correcta e incluso la caída fue mayor. Sin embargo, influyeron factores externos, como la baja del precio del petróleo.",
Verdadero,Se ofrecen propiedad,"Se ofrecen propiedades en esos valores, aunque son muy pocas, sobre todo en las principales ciudades del país.",
Falso,El sector cuenta con,El sector cuenta con diferentes beneficios tributarios impulsados desde la década de 1990 para radicar inversiones en el país.,
Verdadero,La cantidad de perso,"La cantidad de personas que pagan este tributo alcanza ese número, y representa un 14% de los empleados en blanco. Se sabe cuántos trabajadores dejarán de pagar con la nueva medida pero no los nuevos que estarán alcanzados.",
Verdadero,Según la fuente y el,"Según la fuente y el índice de precios que se tome, los aumentos que hubo durante enero están por debajo o por encima de los valores de noviembre y diciembre de 2015.",
Falso,El peso del empleo p,"El peso del empleo público en la Argentina es mayor al promedio de América Latina, pero está por debajo de los países desarrollados. Según los especialistas, no existe un tamaño óptimo de Estado sino que lo que importa es la calidad.",
Falso,En relación a la can,"En relación a la cantidad de vuelos y pasajeros transportados, la empresa tiene una mayor proporción que otras compañías.",
Verdadero,El peso de la deuda ,"El peso de la deuda que no entró a los canjes de 2005 y 2010 representa un porcentaje cercano al que mencionó el ministro de Hacienda y Finanzas. Aunque los especialistas lo consideran un monto bajo, señalan que pagar el reclamo permitiría acceder a financiamiento externo.",
Verdadero,El ex viceministro d,"El ex viceministro de Economía utilizó este argumento para defender la última gestión de Cristina Fernández de Kirchner. Si bien el dato es mayor para el período 2011-2015, se trata del consumo promedio más bajo de la última década.",
Falso,"Patricia Bullrich, s","Patricia Bullrich, sobre la llamada ley de derribo: “Todos los países de Latinoamérica tienen este tipo de leyes”",
Falso,Si bien varios paíse,"Si bien varios países tienen este tipo de legislación en Sudamérica -entre ellos Brasil y Chile-, hay excepciones y es menos común en Centroamérica.",
Falso,El gobernador salteñ,"El gobernador salteño apuntó contra la inequidad entre jurisdicciones, pero los datos muestran que, si bien existen grandes desigualdades, los recursos destinados al área educativa en la provincia son menores que lo señalado.",
Falso,Los datos del Presup,"Los datos del Presupuesto 2016 muestran que el costo de la fuerza policial es mayor al estimado por el diputado nacional y ex ministro de Economía, por lo que la Ciudad no contará libremente con los montos que señaló.",
Falso,Una comparación con ,"Una comparación con naciones de la región y del mundo muestra que el máximo tribunal cuenta con un menor número de integrantes. En otros países, la Corte está dividida en salas especializadas.",
Verdadero,"Macri, sobre empleo ","Macri, sobre empleo público en la Ciudad: “En ocho años se fueron 20 mil personas y se incorporaron otras 20 mil”",
Verdadero,El trabajo estatal c,"El trabajo estatal creció en nueve mil empleados durante la gestión anterior del Presidente como jefe de Gobierno. Si bien se reasignó personal a áreas esenciales, la Ciudad es una de las jurisdicciones donde más crecieron los cargos públicos.",
Falso,Solo en la provincia,"Solo en la provincia de Buenos Aires, se registró esa cantidad de fugas entre 2013 y 2015. No existen datos sobre el total de presos que se escaparon de todas las cárceles del país.",
Verdadero,Distintas ciudades y,Distintas ciudades y países realizan transferencias al sector. Los especialistas consideran que subsidiar a las empresas en lugar de la demanda de grupos particulares de personas no posee efectos redistributivos.,
Verdadero,Si bien el dato que ,"Si bien el dato que citó el ministro de Hacienda y Finanzas no es preciso, las fuentes oficiales y alternativas coinciden en que los subsidios tienden a favorecer a los hogares de mayor poder adquisitivo.",
Falso,Contrariamente a lo ,"Contrariamente a lo afirmado por el flamante ministro de Comunicaciones, los principales actores mediáticos controlan una gran proporción de mercado y de audiencias, un fenómeno que se repite en toda la región latinoamericana.",
Falso,Los puestos formales,"Los puestos formales aumentaron cerca de lo dicho por el ex ministro de Economía, pero no se puede determinar si son nuevas personas o blanqueo de quienes trabajaban en negro. Se trata, sin embargo, de un repunte después de tres años de desaceleración y caída.",
Falso,En la última década ,En la última década el número de cortes alcanzó un número superior al mencionado por el secretario de Seguridad de la Nación.,
Verdadero,La superficie sembra,La superficie sembrada este año fue menor a la del anterior; las previsiones volvieron a subir luego de los últimos anuncios.,
Verdadero,La evolución del “dó,"La evolución del “dólar Bolsa” y del “contado con liquidación”, valores a los que se refirió el ministro, respalda sus dichos. Pero la depreciación del peso no puede atribuirse sólo a esa causa.",
Verdadero,Desde 1983 sólo se u,"Desde 1983 sólo se utilizó este mecanismo para la designación de magistrados de instancias inferiores, pero nunca para el máximo tribunal del país.",
Verdadero,La Gobernadora bonae,"La Gobernadora bonaerense expuso con estos datos la discriminación fiscal que sufre Buenos Aires, jurisdicción que desde 2003 perdió peso en la distribución de los recursos que se distribuyen en forma automática a las provincias.",
Verdadero,Las estadísticas dis,"Las estadísticas disponibles dan cuenta de un aumento en el número de presos por la ley de drogas y en la cantidad de incautaciones, aunque no hay datos suficientes para hablar de un aumento alarmante del narcotráfico.",
Falso,Los datos muestran q,Los datos muestran que las tarifas de Edenor y Edesur son siete veces más baratas que las de las empresas que operan en esas provincias. Esta diferencia se explica por el costo de distribución.,
Verdadero,El presupuesto desti,"El presupuesto destinado al área fue inferior al estipulado, y es uno de los más bajos entre las provincias. La Ciudad, en cambio, sí incentivo áreas vinculadas con el diseño.",
Verdadero,El trabajo estatal p,"El trabajo estatal porteño aumentó en casi nueve mil empleados entre 2007 y 2015. Si bien se reasignó personal administrativo a áreas esenciales, también es una de las jurisdicciones donde más crecieron los cargos públicos.",
Falso,La baja de la inflac,"La baja de la inflación que hubo durante su gestión al frente del Banco Central fue la última y la más importante. Pero la tendencia a la caída se inició durante la Presidencia anterior, como consecuencia de medidas adoptadas con anterioridad.",
Verdadero,Los datos al primer ,Los datos al primer trimestre de 2015 muestran un déficit de $2.092 millones. Pero no existen cifras oficiales ni alternativas que permitan conocer con exactitud si el monto total del corriente año estará cerca o no del mencionado por la Gobernadora electa.,
Falso,La firma mencionada ,"La firma mencionada recibió pagos por licitaciones de gestiones previas al PRO, pero otra sociedad de la que participa el empresario sí obtuvo contratos con el Gobierno porteño por varios millones de pesos.",
Falso,Creció la cantidad d,"Creció la cantidad de alumnos en el sector estatal en tres de los últimos cuatro años, y se revirtió la caída que hubo entre 2004 y 2009. A nivel nacional la matrícula aumentó todos los años, pero en la Ciudad se logró un incremento en la primaria que en la Nación no.",
Verdadero,Los datos oficiales ,Los datos oficiales muestran el incremento mencionado por el candidato presidencial del Frente para la Victoria. La deuda también aumentó en términos relativos.,
Verdadero,Las muertes en sinie,"Las muertes en siniestros viales representan una cifra menor. Hubo una importante reducción entre 2008 y 2012, y desde ese año las víctimas comenzaron a aumentar, aunque sin llegar a los valores del primer año de mandato de la Presidenta.",
Falso,Todavía no existen d,Todavía no existen datos oficiales públicos que permitan corroborar la evolución de los asesinatos en el distrito bonaerense. La información de 2014 muestra un incremento frente al año previo.,
Falso,Si se toma el total ,"Si se toma el total de trabajadores, el sector privado supera al estatal en la provincia. El peso del sector público es mayor, en cambio, si se cuenta solamente el trabajo registrado.",
Falso,Si bien es cierto qu,"Si bien es cierto que la Argentina presenta un nivel de endeudamiento bajo comparado con países desarrollados, existen economías en América Latina que tienen menos deuda pública.",
Falso,Los datos que dio la,Los datos que dio la candidata a gobernadora de la Provincia de Buenos Aires de Cambiemos coinciden con la información oficial y alternativa disponible.,
Verdadero,Desde que Macri está,"Desde que Macri está al frente del Gobierno de la Ciudad la tasa subió, aunque en el último año se volvió a reducir de acuerdo con datos provisorios, algo que el candidato del FpV no mencionó.",
Verdadero,El candidato prometi,"El candidato prometió obligar a las compañías de llamadas celulares a dar “un servicio de calidad”. Es imposible contrastar la promesa con datos, pero ¿cuál es la situación de la telefonía móvil hoy y por qué?",
Verdadero,El candidato preside,El candidato presidencial del FpV difundió uno de sus objetivos en materia de Seguridad. ¿Cómo evolucionó la cantidad de policías durante su gestión al frente de la Provincia de Buenos Aires y cuál fue su efecto hasta el momento?,
Verdadero,La tasa de desempleo,"La tasa de desempleo en la provincia puntana es muy baja, aunque eso no significa que todos tengan trabajo, ya que hay otros indicadores que también son relevantes para analizar el mercado laboral.",
Falso,La principal polític,"La principal política social impulsada por el Gobierno nacional desde 2009 impactó en la asistencia escolar de los niños y adolescentes, aunque aún quedan chicos cubiertos que no asisten.",
Falso,El candidato preside,"El candidato presidencial de Cambiemos también propone “universalizar un ingreso ciudadano”. Con los datos del INDEC manipulados, ¿qué tendencia muestran las fuentes alternativas?",
Verdadero,La Argentina es uno ,"La Argentina es uno de los países que más devaluó su moneda, aunque no el principal. El proceso se aceleró en los últimos años.",
Falso,El número citado por,El número citado por el gobernador y candidato presidencial del FpV no coincide con la cantidad de hospitales que tienen asignado presupuesto para funcionar durante 2015.,
Falso,La disminución de lo,"La disminución de los precios para los consumidores no es considerada por la mayoría de los economistas consultados como una inversión en si. Además, en el esquema actual, no se los destina a bienes de capital.",
Falso,El número de efectiv,"El número de efectivos se incrementó considerablemente. Pese a esto, durante 2014 aumentaron los delitos y aún no hay datos sobre sus efectos para 2015.",
Verdadero,Los datos coinciden ,"Los datos coinciden con el cálculo del candidato presidencial. Sin embargo, no todos los pedidos de captura son asimilables a personas que cometieron delitos graves como un homicidio.",
Falso,La legislación de la,"La legislación de la Ciudad garantiza el acceso a la Salud de manera gratuita y universal a toda la población. De hecho, los datos del Hospital Garrahan muestran que sólo el 14% de los egresos corresponde a residentes porteños.",
Falso,Los datos son correc,"Los datos son correctos, aunque refieren a todo el país e incluyen a escuelas privadas y públicas. En estas últimas el problema es mayor.",
